,EIK_Price,EIM_Price,GRND_Price,HAGA_Price,ICEAIR_Price,MARL_Price,N1_Price,NYHR_Price,OSSRu_Price,REGINN_Price,REITIR_Price,SIMINN_Price,SJOVA_Price,SKEL_Price,TM_Price,VIS_Price,VOICE_Price
EIK_Price,1.0,0.9524702781312692,-0.8302458309949079,0.8936519636175005,-0.8809815411124746,0.04122786090058401,0.8499423203581925,0.6389007222132894,-0.6947313471599491,0.9463238542686983,0.896695520201338,-0.43412541221930817,0.7469137669304632,0.10786027431802597,0.849967075332979,0.40170017832615496,0.5838049229862704
EIM_Price,0.9524702781312692,1.0,-0.910726059653977,0.8168005618604044,-0.9303921673096676,0.1422068077230811,0.8556006535614383,0.6496728234594442,-0.7298146476886488,0.9200098807034606,0.7896951505652094,-0.4881923064344225,0.6707155070102953,0.3638966576009924,0.7866092207306411,0.2749958400820041,0.4690790634422102
GRND_Price,-0.8302458309949079,-0.910726059653977,1.0,-0.705586952169366,0.9188059586516628,-0.2613223740342391,-0.8296472593024741,-0.4798239111420739,0.6450237593209731,-0.8416119454272857,-0.6102037832354957,0.6258899342274058,-0.48505397422008983,0.04104647022045624,-0.5890759823467969,-0.04466619798820096,-0.23713446632147117
HAGA_Price,0.8936519636175005,0.8168005618604044,-0.705586952169366,1.0,-0.6941335006665035,0.02258156393293848,0.8385817032797614,0.6695674483670111,-0.5864532502589724,0.8837333280587301,0.8822823783864909,-0.4252505796873224,0.8414237349933724,-0.3226693271262744,0.8292991776700435,0.4784721857078864,0.5737048525763133
ICEAIR_Price,-0.8809815411124746,-0.9303921673096676,0.9188059586516628,-0.6941335006665035,1.0,-0.054963544206060734,-0.7896119989485244,-0.5492162885656171,0.7522637400969358,-0.8126326049904273,-0.6428673858428618,0.42342214558374286,-0.522595776112189,0.5698911562466318,-0.7087657606405066,-0.17527066265142785,-0.37620985900566584
MARL_Price,0.04122786090058401,0.1422068077230811,-0.2613223740342391,0.02258156393293848,-0.054963544206060734,1.0,0.10830268033470387,-0.13555190171584477,0.21273787879976683,0.20917778656848038,-0.02447056899118544,-0.5113536069414173,-0.23789739339812313,0.247351133559845,-0.2866312185631502,-0.543652154628317,-0.2674271484175407
N1_Price,0.8499423203581925,0.8556006535614383,-0.8296472593024741,0.8385817032797614,-0.7896119989485244,0.10830268033470387,1.0,0.7289021328509607,-0.6995037372709814,0.8805785587269149,0.741827828311922,-0.48939702879957914,0.7714456120284212,-0.22961950495180103,0.7545377569569235,0.3033464322964491,0.4474942340060279
NYHR_Price,0.6389007222132894,0.6496728234594442,-0.4798239111420739,0.6695674483670111,-0.5492162885656171,-0.13555190171584477,0.7289021328509607,1.0,-0.6919722086996206,0.6316831488220549,0.5826114204870096,-0.10509257235299684,0.8233893527591829,0.3762942839074368,0.729456277716457,0.4808459325292459,0.47361918671626224
OSSRu_Price,-0.6947313471599491,-0.7298146476886488,0.6450237593209731,-0.5864532502589724,0.7522637400969358,0.21273787879976683,-0.6995037372709814,-0.6919722086996206,1.0,-0.5775185403365702,-0.4905358232699693,0.04778965301178124,-0.621087200074035,0.22493927194542088,-0.7511824128421748,-0.44646634876308217,-0.49576242417440897
REGINN_Price,0.9463238542686983,0.9200098807034606,-0.8416119454272857,0.8837333280587301,-0.8126326049904273,0.20917778656848038,0.8805785587269149,0.6316831488220549,-0.5775185403365702,1.0,0.85853558244971,-0.5943885821703132,0.7184227291877331,-0.026044549306885344,0.7281003350418063,0.22017714466032892,0.4335147861894062
REITIR_Price,0.896695520201338,0.7896951505652094,-0.6102037832354957,0.8822823783864909,-0.6428673858428618,-0.02447056899118544,0.741827828311922,0.5826114204870096,-0.4905358232699693,0.85853558244971,1.0,-0.35729263552391616,0.8215533283919023,0.23596769809499357,0.8335425294005387,0.544540474801749,0.6643444743691376
SIMINN_Price,-0.43412541221930817,-0.4881923064344225,0.6258899342274058,-0.4252505796873224,0.42342214558374286,-0.5113536069414173,-0.48939702879957914,-0.10509257235299684,0.04778965301178124,-0.5943885821703132,-0.35729263552391616,1.0,-0.19949880422722763,0.1585552615381191,-0.09919573720863252,0.32672638756984757,0.23757545562364704
SJOVA_Price,0.7469137669304632,0.6707155070102953,-0.48505397422008983,0.8414237349933724,-0.522595776112189,-0.23789739339812313,0.7714456120284212,0.8233893527591829,-0.621087200074035,0.7184227291877331,0.8215533283919023,-0.19949880422722763,1.0,-0.31150315869529155,0.892661117444171,0.7033144566522684,0.5900580643198924
SKEL_Price,0.10786027431802597,0.3638966576009924,0.04104647022045624,-0.3226693271262744,0.5698911562466318,0.247351133559845,-0.22961950495180103,0.3762942839074368,0.22493927194542088,-0.026044549306885344,0.23596769809499357,0.1585552615381191,-0.31150315869529155,1.0,0.12111614960466532,0.45916992101514936,0.22264598953596762
