,1,3,5,10,20
EIK,0.5294117647058824,0.5588235294117647,0.5784313725490197,0.7156862745098039,0.45098039215686275
EIM,0.5882352941176471,0.5392156862745098,0.5098039215686274,0.4411764705882353,0.5
GRND,0.6274509803921569,0.5490196078431373,0.5686274509803921,0.6372549019607843,0.46078431372549017
HAGA,0.5686274509803921,0.46078431372549017,0.5588235294117647,0.5882352941176471,0.6176470588235294
ICEAIR,0.6176470588235294,0.6568627450980392,0.6372549019607843,0.6568627450980392,0.8333333333333334
MARL,0.4803921568627451,0.47058823529411764,0.7941176470588235,0.7352941176470589,0.7647058823529411
N1,0.6568627450980392,0.4411764705882353,0.46078431372549017,0.6764705882352942,0.696078431372549
NYHR,0.5196078431372549,0.6372549019607843,0.6764705882352942,0.6078431372549019,0.5490196078431373
OMXIPI,0.4803921568627451,0.4803921568627451,0.4411764705882353,0.5686274509803921,0.696078431372549
OSSRu,0.7941176470588235,0.6568627450980392,0.39215686274509803,0.6078431372549019,0.5196078431372549
REGINN,0.5196078431372549,0.5294117647058824,0.5686274509803921,0.6470588235294118,0.5490196078431373
REITIR,0.5588235294117647,0.5588235294117647,0.5882352941176471,0.39215686274509803,0.3235294117647059
SIMINN,0.5196078431372549,0.5098039215686274,0.39215686274509803,0.6764705882352942,0.27450980392156865
SJOVA,0.5686274509803921,0.6176470588235294,0.6470588235294118,0.7941176470588235,0.8431372549019608
TM,0.5098039215686274,0.5294117647058824,0.46078431372549017,0.3235294117647059,0.3431372549019608
VIS,0.5686274509803921,0.47058823529411764,0.5196078431372549,0.6372549019607843,0.8529411764705882
VOICE,0.5882352941176471,0.5392156862745098,0.5784313725490197,0.7941176470588235,0.6568627450980392
