Date,DAX_Price,DAX_Open,DAX_High,DAX_Low,DAX_Volume,DJI_Price,DJI_Open,DJI_High,DJI_Low,DJI_Volume,FCHI_Price,FCHI_Open,FCHI_High,FCHI_Low,FCHI_Volume,FTSE_Price,FTSE_Open,FTSE_High,FTSE_Low,FTSE_Volume,IBEX_Price,IBEX_Open,IBEX_High,IBEX_Low,IBEX_Volume,IXIC_Price,IXIC_Open,IXIC_High,IXIC_Low,IXIC_Volume,N225_Price,N225_Open,N225_High,N225_Low,N225_Volume,NOMXIBB_Price,NOMXIBB_Open,NOMXIBB_High,NOMXIBB_Low,NOMXIBB_Volume,NOMXINOM_Price,NOMXINOM_Open,NOMXINOM_High,NOMXINOM_Low,NOMXINOM_Volume,NOMXIREAL_Price,NOMXIREAL_Open,NOMXIREAL_High,NOMXIREAL_Low,NOMXIREAL_Volume,OMXC20_Price,OMXC20_Open,OMXC20_High,OMXC20_Low,OMXC20_Volume,OMXI8_Price,OMXI8_Open,OMXI8_High,OMXI8_Low,OMXI8_Volume,OMXIGI_Price,OMXIGI_Open,OMXIGI_High,OMXIGI_Low,OMXIGI_Volume,OMXIMCPI_Price,OMXIMCPI_Open,OMXIMCPI_High,OMXIMCPI_Low,OMXIMCPI_Volume,OMXIPI_Price,OMXIPI_Open,OMXIPI_High,OMXIPI_Low,OMXIPI_Volume,OMXISCPI_Price,OMXISCPI_Open,OMXISCPI_High,OMXISCPI_Low,OMXISCPI_Volume,OMXS30_Price,OMXS30_Open,OMXS30_High,OMXS30_Low,OMXS30_Volume,PSI20_Price,PSI20_Open,PSI20_High,PSI20_Low,PSI20_Volume,SSMI_Price,SSMI_Open,SSMI_High,SSMI_Low,SSMI_Volume,STOXX50E_Price,STOXX50E_Open,STOXX50E_High,STOXX50E_Low,STOXX50E_Volume,VIX_Price,VIX_Open,VIX_High,VIX_Low,VIX_Volume
2010-01-18,5918.55,5897.63,5922.93,5877.65,-,,,,,,3977.46,3971.17,3982.79,3954.28,-,5494.4,5455.4,5504.0,5454.3,-,11870.7,11888.5,11897.7,11788.8,-,,,,,,10855.08,10887.61,10895.1,10781.03,-,,,,,,,,,,,,,,,,359.95,359.33,362.12,359.25,-,840.88,846.29,849.56,840.85,-,,,,,,37.98,37.95,38.18,37.95,-,517.35,519.63,521.75,517.33,-,89.24,92.93,92.93,89.23,-,974.05,970.41,975.83,968.76,96.36M,,,,,,6603.78,6618.16,6624.37,6589.88,49.26M,,,,,,,,,,
2010-01-19,5976.48,5905.33,5988.8,5849.67,-,10725.43,10608.37,10763.45,10555.47,-,4009.67,3968.73,4019.88,3930.91,-,5513.1,5494.4,5531.9,5431.3,-,12022.6,11850.4,12049.2,11772.5,-,2320.4,2291.02,2320.4,2290.68,573.97M,10764.9,10866.83,10866.83,10749.47,-,,,,,,,,,,,,,,,,360.47,359.91,360.8,355.11,-,832.28,840.79,840.79,830.1,-,,,,,,37.58,37.93,37.93,37.55,-,511.72,516.78,516.78,510.71,-,88.02,89.23,89.23,87.07,-,976.0,973.58,977.83,960.65,134.70M,,,,,,6633.86,6594.98,6639.05,6518.78,70.93M,,,,,,,,,,
2010-01-20,5851.53,5963.71,5972.77,5832.09,-,10603.15,10719.69,10719.69,10492.36,-,3928.95,3996.36,4013.48,3915.96,-,5420.8,5513.1,5513.1,5404.0,-,11709.0,11987.3,12039.0,11642.5,-,2291.25,2304.31,2304.47,2268.68,657.47M,10737.52,10834.91,10860.93,10724.57,-,,,,,,,,,,,,,,,,356.31,360.63,361.03,356.0,-,837.66,831.8,842.72,831.63,-,,,,,,37.34,37.58,37.63,37.34,-,513.0,511.53,516.07,511.37,-,94.04,87.78,94.48,87.78,-,957.53,976.06,976.79,957.16,121.00M,,,,,,6586.53,6614.96,6657.53,6575.62,79.42M,,,,,,,,,,
2010-01-21,5746.97,5878.24,5908.85,5742.45,-,10389.88,10603.91,10651.14,10334.18,-,3862.16,3955.78,3966.2,3862.16,-,5335.1,5420.8,5468.4,5331.6,-,11444.0,11771.8,11788.8,11414.1,-,2265.7,2298.23,2308.98,2259.82,790.77M,10868.41,10704.79,10886.64,10649.84,-,,,,,,,,,,,,,,,,349.69,356.46,357.69,349.68,-,819.96,838.59,838.59,818.89,-,,,,,,36.98,37.37,37.37,36.93,-,504.52,513.4,513.4,503.88,-,87.95,94.07,94.07,87.52,-,954.02,958.19,968.06,951.49,146.09M,,,,,,6578.95,6625.24,6666.18,6576.26,86.55M,,,,,,,,,,
2010-01-22,5695.32,5735.68,5740.87,5639.49,-,10172.98,10389.58,10450.04,10133.15,-,3820.78,3840.06,3859.65,3786.29,-,5303.0,5335.1,5345.6,5253.0,-,11373.4,11410.0,11423.5,11204.5,-,2205.29,2255.76,2262.27,2200.37,797.19M,10590.55,10740.21,10768.07,10528.33,-,,,,,,,,,,,,,,,,346.87,349.56,349.74,345.0,-,824.11,820.98,824.2,820.98,-,,,,,,36.87,37.02,37.18,36.86,-,503.19,504.98,506.92,502.99,-,87.95,87.99,88.04,87.88,-,951.06,954.31,957.57,943.61,143.52M,,,,,,6493.96,6541.8,6556.23,6449.22,122.91M,,,,,,,,,,
2010-01-25,5631.37,5662.85,5693.86,5624.58,-,10196.86,10175.1,10316.65,10135.95,-,3781.85,3793.63,3833.44,3780.5,-,5260.3,5303.0,5330.6,5252.9,-,11249.3,11275.4,11383.3,11223.7,-,2210.8,2220.29,2223.22,2201.17,597.78M,10512.69,10478.31,10557.64,10414.58,-,,,,,,,,,,,,,,,,349.86,346.48,352.24,344.97,-,825.71,824.3,825.93,824.3,-,,,,,,37.02,36.88,37.03,36.88,-,504.97,503.29,505.09,503.29,-,87.88,87.98,87.98,87.88,-,947.56,948.81,956.18,940.21,137.39M,,,,,,6451.3,6456.35,6508.94,6441.58,82.66M,,,,,,,,,,
2010-01-26,5668.93,5593.94,5675.96,5574.46,-,10194.29,10195.35,10323.0,10102.17,-,3807.04,3748.03,3807.48,3741.36,-,5276.9,5260.3,5276.9,5215.7,-,11347.3,11158.8,11385.5,11140.4,-,2203.73,2203.44,2227.89,2195.44,673.68M,10325.28,10506.15,10566.49,10324.98,-,,,,,,,,,,,,,,,,348.97,349.65,353.85,348.63,-,815.9,825.26,826.43,815.16,-,,,,,,36.51,37.01,37.07,36.47,-,498.3,504.73,505.43,498.09,-,87.21,87.81,87.84,87.21,-,942.94,945.84,945.84,935.66,131.48M,,,,,,6484.23,6404.13,6484.23,6386.04,82.96M,,,,,,,,,,
2010-01-27,5643.2,5643.52,5673.73,5589.01,-,10236.16,10194.29,10294.13,10060.98,-,3759.8,3769.66,3793.63,3737.29,-,5217.5,5276.9,5276.9,5192.6,-,11042.2,11199.5,11203.9,10997.7,-,2221.41,2200.3,2225.67,2192.59,727.06M,10252.08,10344.07,10373.82,10252.08,-,,,,,,,,,,,,,,,,349.61,348.69,353.65,345.37,-,815.04,816.65,816.65,813.41,-,,,,,,36.43,36.51,36.51,36.33,-,497.14,498.26,498.26,496.12,-,86.83,87.17,87.33,86.83,-,946.7,943.18,954.02,934.66,138.95M,,,,,,6473.03,6428.2,6501.2,6423.93,89.72M,,,,,,,,,,
2010-01-28,5540.33,5687.1,5718.81,5540.33,-,10120.46,10236.92,10310.68,10023.8,-,3688.79,3812.19,3812.19,3688.79,-,5145.7,5217.5,5280.4,5145.7,-,10829.3,11154.9,11200.5,10829.3,-,2179.0,2220.31,2220.87,2166.9,829.36M,10414.29,10309.73,10462.7,10296.98,-,,,,,,,,,,,,,,,,350.95,350.36,357.02,350.36,-,808.66,812.27,812.27,807.35,-,,,,,,36.15,36.33,36.33,36.05,-,493.22,496.0,496.0,492.29,-,86.09,86.88,86.88,86.09,-,937.22,947.18,965.09,935.46,215.49M,,,,,,6442.41,6543.57,6551.07,6442.41,85.40M,,,,,,,,,,
2010-01-29,5608.79,5566.03,5657.87,5556.19,-,10067.33,10122.04,10272.29,10014.35,-,3739.46,3712.02,3768.39,3696.0,-,5188.5,5145.7,5230.2,5145.7,-,10947.7,10904.0,11045.3,10821.2,-,2147.35,2198.26,2202.84,2140.34,918.05M,10198.04,10308.05,10324.37,10198.04,-,,,,,,,,,,,,,,,,354.85,351.1,354.85,348.41,-,806.59,807.05,810.15,805.6,-,,,,,,36.1,36.09,36.26,36.05,-,492.18,492.37,494.34,491.58,-,85.37,85.82,85.82,85.37,-,953.71,937.93,957.1,937.93,156.24M,,,,,,6440.72,6456.12,6473.6,6404.18,77.90M,,,,,,,,,,
2010-02-01,5654.48,5587.5,5674.21,5567.72,-,10185.53,10068.99,10227.24,10068.99,-,3762.01,3713.17,3774.36,3702.01,-,5247.4,5188.5,5250.1,5163.6,-,10995.2,10852.4,11033.7,10839.4,-,2171.2,2155.81,2171.2,2152.26,631.69M,10205.02,10212.36,10224.83,10129.91,-,,,,,,,,,,,,,,,,358.43,354.46,358.51,351.58,-,813.3,808.88,813.49,808.13,-,,,,,,36.33,36.18,36.36,36.14,-,495.19,493.15,495.57,492.57,-,85.78,85.38,85.8,85.38,-,967.77,952.82,967.77,947.45,124.76M,,,,,,6496.33,6408.68,6496.33,6403.58,69.30M,,,,,,,,,,
