,1,3,5,10,20
EIK,1%,2%,3%,9%,14%
EIM,-1%,-3%,1%,6%,1%
GRND,-6%,-9%,-7%,-2%,4%
HAGA,0%,-4%,-4%,-10%,-13%
ICEAIR,4%,-1%,3%,4%,4%
MARL,-5%,-4%,-23%,21%,33%
N1,10%,-13%,-18%,-21%,-31%
NYHR,-11%,-9%,-6%,-5%,2%
OMXIPI,2%,4%,7%,8%,25%
OSSRu,-4%,-6%,-6%,11%,19%
REGINN,0%,0%,2%,7%,7%
REITIR,-1%,-3%,1%,6%,20%
SIMINN,-8%,-6%,-11%,-17%,-28%
SJOVA,-3%,-2%,-2%,-1%,54%
TM,-2%,4%,1%,44%,58%
VIS,-3%,-4%,1%,32%,-9%
VOICE,-6%,-6%,3%,6%,10%
